ID,Name,Average Viewers,Average Channels,Rank,Hours Watched
5332,WarGames: Defcon 1,1,1,25892,0
5368,NASCAR Racing 2003 Season,4,1,6620,120
5375,Chocobo Racing,5,1,17099,9
5391,The Nightmare of Druaga: Fushigino Dungeon,2,1,17226,6
5461,Shrek SuperSlam,4,1,14675,12
5468,Chiller,1,1,12374,15
5511,Progress Quest,4,3,2668,643
5544,Front Mission,1,1,6302,69
5567,Day of Defeat,6,1,5983,209
5599,The Mask,5,1,21840,3
5625,Shadow of the Beast III,8,1,24005,1
5640,Airxonix,18,1,19440,6
5654,World in Conflict,8,1,8973,70
5728,Legacy of Kain: Soul Reaver,9,1,3750,603
5815,FINAL FANTASY VI,30,3,1476,4819
5836,Mickey's Speedway USA,7,1,12866,25
5887,Mario Party,28,1,2391,1962
5895,Adventures of Lolo 2,5,1,14551,16
5955,Unlimited SaGa,10,1,7545,127
6003,Revelations: Persona,3,1,7650,82
6025,Test Drive Unlimited,8,1,6152,197
6082,Madden NFL 06,1,1,23676,1
6087,Duke Nukem: Time to Kill,24,1,9468,71
6289,Fight Club,4,1,14166,15
6334,Lord of the Shades,3,1,16803,7
6347,The Settlers IV,2,1,8782,58
6382,Enthusia: Professional Racing,2,1,14677,12
6412,Tom and Jerry,2,1,21412,2
6424,International Superstar Soccer Deluxe,2,1,17227,5
6439,Crossword,4,1,11068,35
6460,Mario's Time Machine,1,1,23678,0
6475,Gamers Pack,1,1,10062,16
6509,Mercedes-Benz Truck Racing,1,1,16966,5
6523,Boktai: The Sun Is in Your Hand,1,1,18871,3
6573,Super Bomberman 3,29,1,5721,277
6594,Klonoa 2: Lunatea's Veil,8,1,4382,414
6644,Front Mission Series: Gun Hazard,59,1,5844,275
6650,ActRaiser,10,1,7883,108
6665,Telltale Texas Hold'em,2,1,23679,1
6686,Gran Turismo Concept: 2002 Tokyo-Geneva,2,1,14678,9
6708,Van Helsing,0,1,24008,0
6716,Earth Defense Force 2017,1,1,11292,18
6737,Super Mario RPG: Legend of the Seven Stars,18,1,2584,1665
6751,Metal Slug 5,12,1,8258,94
6758,Divine Divinity,3,1,6870,112
6782,Alien Trilogy,14,1,18624,7
6795,Star Wars: Jedi Knight - Dark Forces II,4,1,6996,119
6816,Moon Cresta,0,1,26818,0
6823,Blue Dragon,16,2,2185,2042
6885,Firestriker,10,1,23682,2
6900,Tenchu: Wrath of Heaven,4,1,10787,40
6908,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",3,1,11892,24
6942,The King of Fighters 2002,11,2,3036,958
6956,Ultimate Spider-Man,2,1,9530,42
6990,Mercenaries: Playground of Destruction,3,1,6510,137
7011,Freddi Fish 5: The Case of the Creature of Coral Cove,2,1,20370,3
7060,Super Double Dragon,2,1,15735,7
7073,Lucas's Problem,23,1,21117,4
7103,Texas Hold 'Em Poker,1,1,8236,51
7137,Mary-Kate & Ashley: Magical Mystery Mall,17,1,11524,39
7151,Dogs Playing Poker,1,1,9121,31
7166,Tecmo Super Bowl,11,2,3342,767
7182,Spyro the Dragon,9,1,3686,640
7195,Sonic Adventure,8,2,3222,779
7218,Heavenly Sword,5,1,9982,46
7249,Voodoo Vince,4,1,14955,12
7362,Lands of Lore III,21,1,7089,154
7383,Kanon,1,1,15440,6
7432,Star Wars: Episode I - Battle for Naboo,2,1,19059,4
7503,Vice: Project Doom,0,1,24009,0
7553,Low G Man: The Low Gravity Man,1,1,21843,1
7567,Virtua Striker 2,0,1,22092,0
7595,Super Metroid,290,10,427,48672
7603,The Flash,5,1,11334,35
7633,The Journeyman Project 3: Legacy of Time,1,1,10379,11
7676,The Adventures of Willy Beamish,8,1,13555,22
7690,Resident Evil Code: Veronica X HD,71,3,1041,10567
7705,Spyro: Enter the Dragonfly,6,1,7163,123
7712,Arcus Odyssey,1,1,25272,0
7742,Diggles: The Myth of Fenris,1,1,18417,3
7763,All-Pro Football 2K8,1,1,25897,0
7778,Capcom vs. SNK 2: Mark of the Millennium 2001,96,1,1969,3089
7785,Power Rangers: Lightspeed Rescue,1,1,19253,3
7821,Guilty Gear X2,3,1,24010,1
7900,Super Star Wars: The Empire Strikes Back,9,1,17360,9
7912,Titan Quest,2,1,6209,103
7936,Shinobi II: The Silent Fury,11,1,10951,44
